base_sigma,window,split_time,filters1,kernel1,filters2,kernel2,dropout_residual,dropout_fc,fc_units,att_ratio,epochs,batch_size,learning_rate,patience_lr,patience_es,val_mae,test_mae,best_epoch,abs_min,abs_max,abs_mean,rel_min,rel_max,rel_mean
10,30,0.7,64,5,64,3,0.2,0.3,64,8,500,12,0.001,3,5,0.23879486662317895,0.1430569151406485,13,4.940101775745276e-05,0.589642398669392,0.1384291516920019,0.0009182850703557641,25.08857558683543,2.3050976280692006
10,30,0.7,64,5,64,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.5074260525801477,0.539827116488006,9,6.554150695550764e-05,2.3825394442817274,0.5444502664635551,0.00041007204782890933,101.37419064736235,10.362158197847906
10,30,0.7,64,5,64,3,0.2,0.3,64,8,500,32,0.001,3,5,0.3576176334591833,0.3480953174974068,13,0.00018233454021507334,1.7527343721748587,0.35857256897460615,0.001047456786296397,67.10425217861128,6.536889576891251
10,30,0.7,64,5,64,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.7719974894844925,0.5841189426654274,7,0.016924394615918208,2.4162346811653372,0.5844487096854296,0.7201126556385398,95.33539310667355,10.228526256567166
10,30,0.7,64,5,64,3,0.3,0.3,64,8,500,12,0.001,3,5,0.7055849423570297,0.4646715592944904,6,0.0009106496007178083,1.5168639949103895,0.48659976555098877,0.014189200622015997,64.54074041679648,9.15862342793163
10,30,0.7,64,5,64,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.07562632301070753,0.08581556737374513,14,7.527742494157705e-05,0.2838721802970471,0.09826658655682188,0.001784683284747287,12.078420189005882,2.045667735429852
10,30,0.7,64,5,64,3,0.3,0.3,64,8,500,32,0.001,3,5,1.0266332405675476,0.7326769288907291,9,0.005812399146226846,1.9992000551582572,0.7330053685575328,0.10804310520755382,77.59107085217317,12.857080487486083
10,30,0.7,64,5,64,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.5128355592369086,0.4786866561396029,12,5.957990577480643e-05,2.4897198012610975,0.47275226668333764,0.0009283386666102622,105.93458605578114,8.460094707732926
10,30,0.7,64,7,64,3,0.2,0.3,64,8,500,12,0.001,3,5,0.0864237518091594,0.09291297283824279,15,0.00025563051203185416,0.36790350989115206,0.08948203181232327,0.0020986742210744925,8.18136291252302,1.6684766175763788
10,30,0.7,64,7,64,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.13970670531136847,0.1544124426747041,12,0.0002762399990076658,0.7362349720360037,0.1601408513224869,0.0020945780269324794,23.853424063288458,3.136568921448042
10,30,0.7,64,7,64,3,0.2,0.3,64,8,500,32,0.001,3,5,0.17611796484861136,0.15391275322689302,12,1.5780343098070748e-06,0.5904458256126639,0.1592732630203682,1.0087561884541722e-05,17.650271053877763,3.0114226661771806
10,30,0.7,64,7,64,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.18834978176476413,0.16761655590484686,7,0.0014160077572159951,0.5991940589309928,0.1730229674175833,0.007174920788478078,18.022497870255712,3.2124303458448895
10,30,0.7,64,7,64,3,0.3,0.3,64,8,500,12,0.001,3,5,0.04595812970094914,0.05162796466862293,38,3.6932127452787844e-05,0.16706544325363606,0.04839267186282015,0.0011533475202437804,2.9767950423601195,0.688632938925127
10,30,0.7,64,7,64,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.42558163920540676,0.39446561926030527,10,0.007202933863729048,1.4992870779396292,0.3944656192603053,0.3064761813175959,56.320374334940965,6.650859066505269
10,30,0.7,64,7,64,3,0.3,0.3,64,8,500,32,0.001,3,5,0.2042091606002848,0.20616101569350456,8,0.0007466444233356004,0.4604948690673413,0.2045243838975701,0.03176882309280372,19.593503377669492,3.434392975331525
10,30,0.7,64,7,64,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.11654947270528551,0.11570499976814441,17,0.00012743245773366718,0.5512852759720084,0.11342827840093649,0.0009662511831949943,15.984036719476586,2.0151922024545486
10,30,0.7,128,5,128,3,0.2,0.3,64,8,500,12,0.001,3,5,0.08057277944465784,0.0904934480601409,14,0.00014838183132118155,0.27231093557086605,0.09419552653022642,0.0008524087427271239,11.586503117158193,2.1105626703480564
10,30,0.7,128,5,128,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.12640104220165913,0.08427391678713589,15,3.6624065352028334e-06,0.4470788331390616,0.08876060578687946,6.130013023236807e-05,11.550177784723322,1.685817144038871
10,30,0.7,128,5,128,3,0.2,0.3,64,8,500,32,0.001,3,5,0.11922665211114575,0.12587506343162924,16,2.4771089840062294e-05,0.529633143699288,0.1249206738023917,0.0009800612989712709,15.062764507087934,1.772332651802287
10,30,0.7,128,5,128,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.11715281350889854,0.07624070059402928,13,0.0001607412984671111,0.3649481466552319,0.08908450296402012,0.0029393505001553515,15.528105141857347,1.6499746346664068
10,30,0.7,128,5,128,3,0.3,0.3,64,8,500,12,0.001,3,5,0.057987347638160186,0.06611181370382484,26,0.00036429707035437117,0.304465802168965,0.06771926618394519,0.006511619109348883,5.48216467163119,1.0874507648395104
10,30,0.7,128,5,128,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.11050643188120057,0.10904733443970474,13,0.0005101365251835438,0.312884860350758,0.1107322786730244,0.0042278715756237165,13.312874865512821,2.310496927122077
10,30,0.7,128,5,128,3,0.3,0.3,64,8,500,32,0.001,3,5,0.32367123460656233,0.3759152988070341,16,0.0003888951621951152,0.7890759201408621,0.37075412052844914,0.009780715461420033,29.62941508174888,6.412432584298655
10,30,0.7,128,5,128,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.1997152789795338,0.18586994130355386,15,0.00019902845123702384,0.7436457367302176,0.1882896323855119,0.0016339828784580868,29.104456352644785,3.799009036523861
10,30,0.7,128,7,128,3,0.2,0.3,64,8,500,12,0.001,3,5,0.20599036454146438,0.20291003096437826,9,0.000315730110980357,1.2722277136207816,0.20820880296525796,0.00482423834485374,46.65927120316592,4.084914665657257
10,30,0.7,128,7,128,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.24843817410007207,0.24805589471945622,16,3.3582489043101904e-05,1.3561592629691663,0.2529998508033753,0.00027832245654815855,57.70294716521226,5.018649097547041
10,30,0.7,128,7,128,3,0.2,0.3,64,8,500,32,0.001,3,5,0.08043217070072864,0.07602446743284834,12,0.00021611005201763178,0.4255760701061484,0.08772713051891658,0.0013814804342662953,10.72641065829642,1.8123983026575872
10,30,0.7,128,7,128,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.2673447142904348,0.21447137188717835,11,1.7350789325760313e-05,0.9339327307106253,0.21481116307606693,0.0006515354498298083,32.26522615392679,3.3673229570470973
10,30,0.7,128,7,128,3,0.3,0.3,64,8,500,12,0.001,3,5,0.08571287441388892,0.08758337265385802,22,0.0009001289381658159,0.414338806426644,0.0900747474295984,0.0160835704494442,10.157128986429472,1.5213684815162745
10,30,0.7,128,7,128,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.19706894956308532,0.21816884887152638,10,0.00011293559357611338,0.45019014985767025,0.22012082835345878,0.0007189631612068488,19.15504995678871,4.581555304163628
10,30,0.7,128,7,128,3,0.3,0.3,64,8,500,32,0.001,3,5,0.6460742126499216,0.6854837471874516,8,0.0007715584945453061,2.503123216941029,0.6875240328765228,0.007973213111652297,106.50488528827627,13.127420068793477
10,30,0.7,128,7,128,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.19021049267444992,0.26352748030482387,10,0.0026111176864487134,0.6318368843337597,0.27167298953613883,0.01669516378463108,26.883900253662315,5.19023963612764
10,50,0.7,64,5,64,3,0.2,0.3,64,8,500,12,0.001,3,5,0.41369510584228886,0.3650379497826311,8,0.0007020749539903559,1.4322798939110037,0.3688066641497892,0.003980090171899645,53.46929916606433,7.026777961059497
10,50,0.7,64,5,64,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.1204537935923913,0.11333380275684013,9,8.449464729091971e-05,0.3722903670431372,0.1263776540599367,0.0013165453550436008,10.922414879955861,2.4557924537907985
10,50,0.7,64,5,64,3,0.2,0.3,64,8,500,32,0.001,3,5,0.5188628253969716,0.45265505527558814,13,0.0002463076522023072,3.0027410478950736,0.45906645312512095,0.0020221354486273167,120.29053430253178,8.615215187611225
10,50,0.7,64,5,64,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.2096606342011228,0.2195919779701507,35,0.00013518122273860345,0.5696231813789603,0.22069833272576864,0.003948720748606907,16.76429256088956,3.5565715372592135
10,50,0.7,64,5,64,3,0.3,0.3,64,8,500,12,0.001,3,5,0.042635092178197206,0.053437430990314214,23,0.00017043475344739878,0.16690821737658948,0.053981384053626166,0.0014125164814251143,6.987527195939545,1.0951026380966968
10,50,0.7,64,5,64,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.08938033977366461,0.08043966220583593,21,7.629128244840411e-06,0.34690900953021664,0.0873447210547303,6.861682175424902e-05,14.760561531859942,1.8198565601796717
10,50,0.7,64,5,64,3,0.3,0.3,64,8,500,32,0.001,3,5,0.08727515657429533,0.08467183141256661,9,0.00013890893176110586,0.3712440820099112,0.09736462197050551,0.0008843129215194948,10.146683451679122,1.8026572579804707
10,50,0.7,64,5,64,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.4708757588143489,0.32293075798205145,7,0.00038953995797019053,1.6643758347770277,0.32503221483585004,0.01657445716536315,70.8171919623414,5.6240462835131
10,50,0.7,64,7,64,3,0.2,0.3,64,8,500,12,0.001,3,5,0.11775812564571021,0.1234946931259067,13,0.00011265712122783544,0.2959003837467429,0.11789198459240582,0.0045627725004839005,11.542245531036878,1.9369127712758074
10,50,0.7,64,7,64,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.6864024615010909,0.6863693911667955,7,0.0014633840185178174,2.385270767523915,0.6800371113447985,0.038252489741631424,101.49040516953434,12.20940856531475
10,50,0.7,64,7,64,3,0.2,0.3,64,8,500,32,0.001,3,5,0.21216066257329103,0.2672553805945626,10,2.459304679849894e-05,0.5597706368705334,0.26498964217816845,0.00022612375521392317,23.817568014290067,4.495914734341221
10,50,0.7,64,7,64,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.20893664946112467,0.20786606212928394,20,8.737248926297958e-05,0.8216644457122387,0.20220343536646568,0.0007275060364020119,34.960834905674865,3.7419317877206746
10,50,0.7,64,7,64,3,0.3,0.3,64,8,500,12,0.001,3,5,0.047881450046575645,0.06894348437293692,28,7.563697446802409e-05,0.3023857565284964,0.06917517547411445,0.0006954533466253214,5.393661228878892,1.0794912716760954
10,50,0.7,64,7,64,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.11470617877727618,0.08876091122900427,18,0.0003102374477680775,0.36938626483690706,0.08371661758129931,0.002571162860061395,12.498891350165552,1.6552107628582173
10,50,0.7,64,7,64,3,0.3,0.3,64,8,500,32,0.001,3,5,0.11161363431953823,0.17718828174242088,18,0.0002199113937892544,2.068925091779351,0.17669424107056173,0.004073242598372776,80.55778738326171,2.930523756885156
10,50,0.7,64,7,64,3,0.3,0.3,64,8,500,32,0.0005,3,5,0.21862208510682776,0.1664814915138438,13,8.470147877234768e-06,0.8754389376999137,0.16527176849942568,0.00014288140570668277,29.77638554371691,2.9641627962574004
10,50,0.7,128,5,128,3,0.2,0.3,64,8,500,12,0.001,3,5,0.0734627196850416,0.07429487471140866,17,5.8807285259199205e-05,0.32619539812815157,0.07122821913952343,0.0009292650014042703,13.574739224355488,1.1635157689951996
10,50,0.7,128,5,128,3,0.2,0.3,64,8,500,12,0.0005,3,5,0.3129598368201037,0.31263133990464603,7,0.00012773322315080826,2.178429553067803,0.3243134440059373,0.001063569227283902,85.21707063753702,6.140744652031661
10,50,0.7,128,5,128,3,0.2,0.3,64,8,500,32,0.001,3,5,0.13645119706211545,0.14048517740455255,18,0.00014401156611956734,0.49611108811107296,0.14093496707959846,0.000816407159512828,21.108930703812234,2.9918432076789134
10,50,0.7,128,5,128,3,0.2,0.3,64,8,500,32,0.0005,3,5,0.33403300998028707,0.2944380913458848,12,0.00021450268478258316,0.9305783441802563,0.2974160970709534,0.0016759995915858635,39.59499042152315,5.98247012867622
10,50,0.7,128,5,128,3,0.3,0.3,64,8,500,12,0.001,3,5,0.13258986818999652,0.13139785764227027,15,0.00018291811248367928,0.5132532647391858,0.14308641039208977,0.0015017202922523818,21.838309722396737,2.8229539772912458
10,50,0.7,128,5,128,3,0.3,0.3,64,8,500,12,0.0005,3,5,0.28573317224735745,0.3118667421438863,9,0.0036402108680700096,1.7463613243461844,0.30532368280552974,0.022775624097441972,66.83308665094735,5.09758475803304
10,50,0.7,128,5,128,3,0.3,0.3,64,8,500,32,0.001,3,5,0.15616436740439166,0.1644343648917121,8,0.00019468987102258528,0.4967769912025036,0.17121396464549749,0.0012181116640478595,21.137264080246098,3.5969993660236215
